species,column,dry_mass_g,status,shape
Bugula dentata,75,0.07,native,erect
Bugula dentata,76,0.05,native,erect
Bugula dentata,77,0.05,native,erect
Bugula dentata,78,0.05,native,erect
Bugula dentata,79,0.05,native,erect
Bugula dentata,80,0.06,native,erect
Bugula dentata,81,0.04,native,erect
Bugula dentata,82,0.05,native,erect
Bugula dentata,83,0.04,native,erect
Bugula dentata,84,0.05,native,erect
Bugula dentata,85,0.06,native,erect
Bugula neretina,86,0.05,invasive,erect
Bugula neretina,87,0.05,invasive,erect
Bugula neretina,88,0.07,invasive,erect
Bugula neretina,89,0.1,invasive,erect
Bugula neretina,90,0.04,invasive,erect
Bugula neretina,91,0.07,invasive,erect
Bugula neretina,92,0.12,invasive,erect
Bugula neretina,93,0.09,invasive,erect
Bugula neretina,94,0.05,invasive,erect
Bugula neretina,95,0.04,invasive,erect
Bugula neretina,96,0.09,invasive,erect
Bugula flabellata,97,0.03,invasive,erect
Bugula flabellata,98,0.03,invasive,erect
Bugula flabellata,99,0.04,invasive,erect
Bugula flabellata,100,0.04,invasive,erect
Bugula flabellata,101,0.03,invasive,erect
Bugula flabellata,102,0.02,invasive,erect
Bugula flabellata,103,0.03,invasive,erect
Watersipora subtorquata,104,0.06,invasive,flat
Watersipora subtorquata,105,0.04,invasive,flat
Watersipora subtorquata,106,0.06,invasive,flat
Watersipora subtorquata,107,0.04,invasive,flat
Watersipora subtorquata,108,0.1,invasive,flat
Watersipora subtorquata,109,0.03,invasive,flat
Watersipora subtorquata,110,0.11,invasive,flat
Watersipora subtorquata,111,0.06,invasive,flat
Watersipora subtorquata,112,0.08,invasive,flat
Watersipora subtorquata,113,0.15,invasive,flat
Watersipora subtorquata,114,0.14,invasive,flat
Watersipora subtorquata,115,0.16,invasive,flat
Watersipora subtorquata,116,0.11,invasive,flat
Didemnum sp,117,0.07,invasive,flat
Didemnum sp,118,0.06,invasive,flat
Didemnum sp,119,0.12,invasive,flat
Didemnum sp,120,0.16,invasive,flat
Didemnum sp,121,0.23,invasive,flat
Didemnum sp,122,0.21,invasive,flat
Didemnum sp,123,0.33,invasive,flat
Didemnum sp,124,0.42,invasive,flat
Didemnum sp,125,0.2,invasive,flat
Didemnum sp,126,0.08,invasive,flat
Didemnum sp,127,0.24,invasive,flat
Celleporaria sp,128,0.19,native,flat
Celleporaria sp,129,0.1,native,flat
Celleporaria sp,130,0.08,native,flat
Celleporaria sp,131,0.16,native,flat
Celleporaria sp,132,0.25,native,flat
Celleporaria sp,133,0.19,native,flat
Celleporaria sp,134,0.23,native,flat
Diplosoma sp,135,0.14,invasive,flat
Diplosoma sp,136,0.1,invasive,flat
Diplosoma sp,137,0.08,invasive,flat
Diplosoma sp,138,0.08,invasive,flat
Diplosoma sp,139,0.04,invasive,flat
Diplosoma sp,140,0.05,invasive,flat
Diplosoma sp,141,0.07,invasive,flat
Diplosoma sp,142,0.14,invasive,flat
Diplosoma sp,143,0.06,invasive,flat
